,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
2875,12.934462805790918,12.775446153846152,12.387470711555038,-0.2744138515609329,42.09788037966511,41.99834053001493,0.4948958381819626,2011-04-06,9771930.0
2876,12.877196436114694,12.718184615384615,10.47451040548137,-0.29299058011305945,36.83348654925491,41.48185513193893,0.49383184974039374,2011-04-07,9771930.0
2877,12.798950556413564,12.639415384615386,12.766944628249432,-0.3305308594047478,32.883764209335936,40.62204603967863,0.507129574758937,2011-04-08,9771930.0
2878,12.70903128284329,12.547476923076923,6.887291390105639,-0.37452360404176943,30.434224125250296,39.6032638482358,0.4973346051332988,2011-04-11,9771930.0
2879,12.637567338009191,12.471415384615385,14.883710720814804,-0.3927569668879638,33.89281957500991,39.03221942091321,0.5139535619094918,2011-04-12,9771930.0
2880,12.566216004316178,12.394984615384615,19.629040805511423,-0.408150547842812,33.06661919421326,38.43565939824321,0.5029568789159566,2011-04-13,9771930.0
2881,12.475737850138012,12.299569230769231,21.1161387631976,-0.44108682297446933,29.523526283052334,37.54444608672412,0.4963171018505312,2011-04-14,9771930.0
2882,12.389142630896627,12.206984615384615,14.995998399359758,-0.4650558496676549,29.103732375236646,36.70037471557538,0.47943730886120756,2011-04-15,9771930.0
2883,12.30151627467381,12.112892307692308,10.825784997929105,-0.48651242784986337,28.030667366798426,35.83340398069769,0.4701917867996927,2011-04-18,9771930.0
2884,12.245245792006596,12.049723076923076,17.05058260928133,-0.4722517705527327,36.1442392796054,35.86448751058846,0.4623209448854289,2011-04-19,9771930.0
2885,12.244842269544552,12.043446153846153,34.90772546642419,-0.40224981089768796,49.08642707510887,37.1866814670405,0.4857265916793268,2011-04-20,9771930.0
2886,12.243700556502665,12.038092307692308,52.94447508733223,-0.343618648080799,48.92703512133561,38.36071683247002,0.47246040655937493,2011-04-21,9771930.0
2887,12.235723590617846,12.026276923076923,63.791138076852384,-0.30094615700681615,47.43416033712304,39.26806118293533,0.4551418060908482,2011-04-25,9771930.0
2888,12.255283314416474,12.04323076923077,69.54954954954958,-0.2361634798747012,53.3902530176382,40.68028036640561,0.462631677084359,2011-04-26,9771930.0
2889,12.274876905615208,12.063323076923076,76.99523052464234,-0.18112105784954302,53.71300097348868,41.98355242711392,0.45422941443547626,2011-04-27,9771930.0
2890,12.29988637441404,12.090984615384615,87.82723900370962,-0.12875310831017828,55.215826340813976,43.306779818483925,0.44392731340437075,2011-04-28,9771930.0
2891,12.338356653305269,12.134307692307692,85.570556091289,-0.07030240017181377,58.44467952524076,44.82056978915961,0.47221821958977284,2011-04-29,9771930.0
