,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value,AO,WilliamR
2420,35.27444957389608,35.01363076923077,25.613985924976927,-0.5082470478832946,33.39981762369645,41.567782227597384,0.8962336399781903,2021-10-26,996384.6599999997,-0.7168970588235339,-98.82812499999996
2421,35.06641499128869,34.80627692307692,14.565246728683656,-0.6486802471513542,28.615831144014408,40.272587119239084,0.9129312371226054,2021-10-27,996384.6599999997,-1.0485441176470616,-99.42528735632176
2422,35.018998453497254,34.75387692307692,18.78142959770123,-0.6013423805134863,45.58391272048696,40.80371967936387,1.0070075773281333,2021-10-28,996384.6599999997,-1.2002058823529467,-45.40229885057461
2423,34.89138318784362,34.622,26.711297663957,-0.6443529706916422,39.69281687307573,40.69262939873506,1.057935607518981,2021-10-29,996384.6599999997,-1.2838235294117695,-75.03852080123264
2424,34.842046019547965,34.56455384615384,43.982490008206014,-0.5997105217350196,45.84680641495881,41.20804710035743,1.0909402069819112,2021-11-01,996384.6599999997,-1.3094999999999999,-47.61171032357472
2425,34.76727324881351,34.48366153846154,39.34257832562918,-0.5882133264358487,43.792045866928426,41.466446977014535,1.1087301921974888,2021-11-02,996384.6599999997,-1.2971764705882336,-59.322033898305136
2426,34.72979069121247,34.44006153846154,48.79301489470981,-0.5397957138631497,46.57424213942512,41.97722649325559,1.1116780356119542,2021-11-03,996384.6599999997,-1.0051176470588175,-46.687211093990705
2427,34.699806791888435,34.40612307692307,49.8602723731685,-0.49092384402570133,46.98778262515016,42.47828210644505,1.0837010330682433,2021-11-04,996384.6599999997,-0.8818823529411759,-44.40993788819867
2428,34.74905242328163,34.45212307692308,63.9795217678417,-0.36726726402170584,53.454429326776214,43.575896828478164,1.1184366735633684,2021-11-05,996384.6599999997,-0.6810882352941192,-16.964285714285513
2429,34.76297146764459,34.468215384615384,69.81970324361642,-0.2989064989015162,50.72248272006471,44.29055541763682,1.1021197683088422,2021-11-08,996384.6599999997,-0.4630882352941157,-29.16666666666658
2430,34.80658904705655,34.51806153846154,78.86904761904773,-0.21003232111331727,53.23368928776176,45.18486880464931,1.095561213429639,2021-11-09,996384.6599999997,-0.14209205882352904,-17.261904761904713
2431,34.91531296651374,34.63846153846154,84.07578084997441,-0.06701087331785516,58.322851728666215,46.498667097051005,1.0887354124703792,2021-11-10,996384.6599999997,0.17586382352941143,-1.3440860215054888
2432,35.01644273832037,34.75661538461539,92.91616885702904,0.04660434502124389,58.37765852128998,47.6865662394749,1.0716828830082092,2021-11-11,996384.6599999997,0.43479323529412284,-2.6455026455026824
2433,35.117485604603424,34.87852307692308,94.98386260119337,0.14306522155447965,58.958878184992926,48.81379743402671,1.044419819936194,2021-11-12,996384.6599999997,0.6543976470588291,-11.058823529411738
2434,35.22767901963393,35.01516923076923,93.47110696130302,0.23455946702576824,60.27320885484179,49.95973857610822,1.0008898327978946,2021-11-15,996384.6599999997,0.9156182352941187,-5.882352941176471
2435,35.35939601812363,35.1783076923077,90.82170330297424,0.334681061431759,62.562091901678336,51.21997390866524,0.9897548447409026,2021-11-16,864860.3549999997,1.2244558823529346,-10.593713620489062
2436,35.466365555191054,35.31883076923077,89.50215709100864,0.394153181705029,60.72643472382895,52.170619990181606,0.9665580701165524,2021-11-17,778383.8149999997,1.4250588235294046,-15.017462165308565
2437,35.53126051248405,35.418461538461536,83.04229724485829,0.4011566584809003,56.58575900654857,52.61213389181831,0.9681610651082275,2021-11-18,739465.5649999997,1.5182911764705835,-25.261932479627482
2438,35.58270201152374,35.506092307692306,77.29918509895225,0.3932971983083675,55.56570087111439,52.907490589747916,0.9525781318862113,2021-11-19,702751.3949999997,1.4780264705882402,-27.823050058207212
2439,35.74941724140653,35.7096,79.88626054483363,0.5063042058847813,65.10997242416417,54.12773877318954,1.025965408180053,2021-11-22,667637.3949999997,1.542467647058821,-7.2562358276643995
2440,35.88638514591372,35.88790769230769,82.97357137137612,0.5715227536339924,63.04022258762978,55.018987154633564,1.009110736167192,2021-11-23,667637.3949999997,1.6369382352941102,-16.000000000000014
2441,36.01281705776651,36.05852307692308,86.23853171941703,0.6161068266154714,63.040222587629785,55.821110697933186,0.9813171121552501,2021-11-24,667637.3949999997,1.7017323529411783,-18.0281690140845
2442,36.05875420716909,36.15184615384616,73.45259863273205,0.5706258943175868,54.61944592548741,55.700944220688605,1.004794461287018,2021-11-26,667637.3949999997,1.6828323529411762,-45.614035087719344
2443,36.05885003738685,36.19821538461539,58.22062982181588,0.48461518218314836,50.294190321096146,55.16026883072936,1.0330234283379454,2021-11-29,667637.3949999997,1.6656558823529508,-61.695906432748494
2444,35.945861572972476,36.12692307692308,34.171245353798724,0.29444023470250613,40.958475102895285,53.740089457945956,1.0949503263138063,2021-11-30,634550.1449999997,1.2684794117647087,-90.176322418136
